city,lat,lon,count,songs,context
Rome,41.89595563,12.48325842,2,"Neighborhood Bully (1983), When I Paint My Masterpiece (1971)","NEIGHBORHOOD BULLY: ""...slaved him is gone Egypt and Rome , even the great Babylon""; WHEN I PAINT MY MASTERPIECE: ""...Oh , the streets of Rome are filled with rubble A"""
London,42.9699986,-81.24998661,3,"Not Dark Yet (1997), Something’s Burning, Baby (1985), T.V. Talkin’ Song (1990)","NOT DARK YET: ""...ng there Well , I’ve been to London and I’ve been to gay Pa""; SOMETHING’S BURNING, BABY: ""...say Even the bloodhounds of London couldn’t find you today""; T.V. TALKIN’ SONG: ""...One time in London I’d gone out for a walk"""
London,51.49999473,-0.116721844,3,"Not Dark Yet (1997), Something’s Burning, Baby (1985), T.V. Talkin’ Song (1990)","NOT DARK YET: ""...ng there Well , I’ve been to London and I’ve been to gay Pa""; SOMETHING’S BURNING, BABY: ""...say Even the bloodhounds of London couldn’t find you today""; T.V. TALKIN’ SONG: ""...One time in London I’d gone out for a walk"""
London,37.12888226,-84.08335372,3,"Not Dark Yet (1997), Something’s Burning, Baby (1985), T.V. Talkin’ Song (1990)","NOT DARK YET: ""...ng there Well , I’ve been to London and I’ve been to gay Pa""; SOMETHING’S BURNING, BABY: ""...say Even the bloodhounds of London couldn’t find you today""; T.V. TALKIN’ SONG: ""...One time in London I’d gone out for a walk"""
Homer,59.64293439,-151.5482797,1,"Open the Door, Homer (1968)","OPEN THE DOOR, HOMER: ""...t of the land Open the door , Homer I’ve heard it said befo"""
Jackson,35.61486615,-88.81389185,1,Outlaw Blues (1965),"OUTLAW BLUES: ""...the truth I got a woman in Jackson I ain’t gon na say her"""
Jackson,32.29881533,-90.18499679,1,Outlaw Blues (1965),"OUTLAW BLUES: ""...the truth I got a woman in Jackson I ain’t gon na say her"""
Oxford,51.7704175,-1.249986004,1,Oxford Town (1963),"OXFORD TOWN: ""...Oxford Town , Oxford Town Ev’r"""
Joliet,41.52998313,-88.10667403,1,Percy’s Song (1964),"PERCY’S SONG: ""...ear Turn , turn , turn again Joliet prison And ninety-nine"""
Magdalena,-13.2600834,-64.05276758,1,Romance In Durango (1975),"ROMANCE IN DURANGO: ""...n my face and my cape Me and Magdalena on the run I think"""
Magdalena,30.61661826,-111.0499506,1,Romance In Durango (1975),"ROMANCE IN DURANGO: ""...n my face and my cape Me and Magdalena on the run I think"""
Brighton,50.83034568,-0.169974407,1,Sign On The Window (1970),"SIGN ON THE WINDOW: ""...d said , “Now didn’ I warn ya Brighton girls are like the mo"""
Paris,48.86669293,2.333335326,1,Slow Train (1979),"SLOW TRAIN: ""...future from Amsterdam and to Paris And there’s a slow , slo"""
Amsterdam,52.34996869,4.916640176,1,Slow Train (1979),"SLOW TRAIN: ""...eciding America’s future from Amsterdam and to Paris And th"""
Mexico City,19.44244244,-99.1309882,1,"Something’s Burning, Baby (1985)","SOMETHING’S BURNING, BABY: ""...tskirts of town I’ve had the Mexico City blues since the la"""
Lincoln,-34.88000405,-61.53994938,1,Talkin’ John Birch Paranoid Blues (1970),"TALKIN’ JOHN BIRCH PARANOID BLUES: ""...senhower , he’s a Russian spy Lincoln , Jefferson and that Ro"""
Lincoln,40.81997479,-96.68000086,1,Talkin’ John Birch Paranoid Blues (1970),"TALKIN’ JOHN BIRCH PARANOID BLUES: ""...senhower , he’s a Russian spy Lincoln , Jefferson and that Ro"""
Buenos Aires,-34.60250161,-58.39753137,1,The Groom’s Still Waiting At The Altar (1981),"THE GROOM’S STILL WAITING AT THE ALTAR: ""...ed or running a whorehouse in Buenos Aires . West of the Jo"""
Gibraltar,36.13243495,-5.37807483,1,The Groom’s Still Waiting At The Altar (1981),"THE GROOM’S STILL WAITING AT THE ALTAR: ""...e Jordan , hard as the Rock of Gibraltar , I see the burning"""
Baltimore,39.29999005,-76.61998499,1,The Lonesome Death Of Hattie Carroll (1964),"THE LONESOME DEATH OF HATTIE CARROLL: ""...his diamond ring finger At a Baltimore hotel society gath’r"""
Richmond,-33.59951373,150.7399873,1,The Night They Drove Old Dixie Down (),"THE NIGHT THEY DROVE OLD DIXIE DOWN: ""...ely alive . By May the tenth , Richmond had fell , it 's a tim"""
Richmond,-20.71626911,143.1333199,1,The Night They Drove Old Dixie Down (),"THE NIGHT THEY DROVE OLD DIXIE DOWN: ""...ely alive . By May the tenth , Richmond had fell , it 's a tim"""
Richmond,39.82889833,-84.89028121,1,The Night They Drove Old Dixie Down (),"THE NIGHT THEY DROVE OLD DIXIE DOWN: ""...ely alive . By May the tenth , Richmond had fell , it 's a tim"""
Danville,36.58625388,-79.39531946,1,The Night They Drove Old Dixie Down (),"THE NIGHT THEY DROVE OLD DIXIE DOWN: ""...he name , and I served on the Danville train , 'Til Stoneman"""
Richmond,37.55001935,-77.449986,1,The Night They Drove Old Dixie Down (),"THE NIGHT THEY DROVE OLD DIXIE DOWN: ""...ely alive . By May the tenth , Richmond had fell , it 's a tim"""
Nazareth,32.70398439,35.2955094,1,The Weight (),"THE WEIGHT: ""...I pulled into Nazareth , was feelin ' about ha"""
Chester,53.20002016,-2.919987428,1,The Weight (),"THE WEIGHT: ""...the load right on me . Crazy Chester followed me , and he ca"""
Hong Kong,22.3049809,114.1850093,1,Union Sundown (1983),"UNION SUNDOWN: ""...Well , this silk dress is from Hong Kong And the pearls are"""
Kansas City,39.11358052,-94.63014638,1,Wanted Man (1969),"WANTED MAN: ""...man in Buffalo Wanted man in Kansas City , wanted man in Ohi"""
Abilene,32.4486253,-99.73278609,1,Wanted Man (1969),"WANTED MAN: ""...eep in Shreveport , woke up in Abilene Wonderin’ why the hel"""
Albuquerque,35.10497479,-106.6413308,1,Wanted Man (1969),"WANTED MAN: ""...lfway between Wanted man in Albuquerque , wanted man in Syr"""
Kansas City,39.10708851,-94.60409422,1,Wanted Man (1969),"WANTED MAN: ""...man in Buffalo Wanted man in Kansas City , wanted man in Ohi"""
Shreveport,32.50001752,-93.77002344,1,Wanted Man (1969),"WANTED MAN: ""...lap Then I went to sleep in Shreveport , woke up in Abilene"""
Baton Rouge,30.45794578,-91.14015812,1,Wanted Man (1969),"WANTED MAN: ""...in Tallahassee , wanted man in Baton Rouge There’s somebody"""
Tallahassee,30.44998761,-84.28003422,1,Wanted Man (1969),"WANTED MAN: ""...an in Syracuse Wanted man in Tallahassee , wanted man in Bat"""
Syracuse,43.04999371,-76.15001367,1,Wanted Man (1969),"WANTED MAN: ""...in Albuquerque , wanted man in Syracuse Wanted man in Tallah"""
Las Vegas,35.59701194,-105.2225027,1,Went To See The Gypsy (1970),"WENT TO SEE THE GYPSY: ""...ough the mirror He did it in Las Vegas And he can do it he"""
Las Vegas,36.20999778,-115.2200061,1,Went To See The Gypsy (1970),"WENT TO SEE THE GYPSY: ""...ough the mirror He did it in Las Vegas And he can do it he"""
Brussels,50.83331708,4.333316608,1,When I Paint My Masterpiece (1971),"WHEN I PAINT MY MASTERPIECE: ""...! I left Rome and landed in Brussels On a plane ride so b"""
